created_at_fuzzy,state_likely_tweeted_from,text,source,display_text_width,lang,favorite_count,retweet_count,is_quote,followers_count,friends_count,listed_count,statuses_count,favourites_count,cleaned_text,Toxicity,Fact assessment
2020-07-24T06:47:07Z,Kansas,"@WhiteHouse @realDonaldTrump Since trump cancelled his convention in Jacksonville ""due to health concerns"", let's see his hypocrite followers say how wonderful he is to care about them and their health, while they've been bitching about stuff being closed and cancelled and Corona being a hoax all this time.",Twitter Web App,279,en,2,0,False,25,23,0,24,15,"  Since trump cancelled his convention in Jacksonville ""due to health concerns"", let's see his hypocrite followers say how wonderful he is to care about them and their health, while they've been bitching about stuff being closed and cancelled and Corona being a hoax all this time.",8,'true'
2020-07-23T16:53:44Z,Washington,"@drchethansathya 9 year old died in Florida from COVID this week. I know you don’t give a shit because it’s not your kid, but my kid won’t be attending school, no matter what Trump and his dumbass cult say.",Twitter for iPhone,189,en,0,0,False,21,168,0,3809,6043," 9 year old died in Florida from COVID this week. I know you don’t give a shit because it’s not your kid, but my kid won’t be attending school, no matter what Trump and his dumbass cult say.",8,True
2020-07-23T13:10:22Z,Ohio,"If trump decides he won’t leave the White House leave him and Melanie there. If she doesn’t kill him let him wander around and mutter to himself about how perfect he is. We can set Biden and a legitimate, thoughtful government up elsewhere. Let’s put Barr in with him.",Twitter for iPhone,268,en,0,0,False,68,97,3,757,664,"If trump decides he won’t leave the White House leave him and Melanie there. If she doesn’t kill him let him wander around and mutter to himself about how perfect he is. We can set Biden and a legitimate, thoughtful government up elsewhere. Let’s put Barr in with him.",9,'No verdict'
2020-07-22T02:03:52Z,Ohio,"Ao now we have ""the Trump virus"" and the ""Skank flu"" https://t.co/Wcm8wtsVqz",Twitter Web App,52,en,0,0,True,2995,3073,1,8741,7807,"Ao now we have ""the Trump virus"" and the ""Skank flu"" ",8,False
2020-07-24T17:21:52Z,Minnesota,"@AustinOnSocial That two seconds I spend trying to ace this quiz each time tho... 

They should put that shit into Trump’s Walter Reed test.",Twitter for iPhone,124,en,0,0,False,99,402,2,9648,4129," That two seconds I spend trying to ace this quiz each time tho... 

They should put that shit into Trump’s Walter Reed test.",8,'no verdict'
2020-07-23T20:41:57Z,New York,@PolitiFact Poor fact checking. According to you own sources. In January 27 he made General statements derogatory to President Trump.,Twitter for Android,121,en,0,0,False,5,11,0,36,13, Poor fact checking. According to you own sources. In January 27 he made General statements derogatory to President Trump.,7,'false'
2020-07-17T08:48:12Z,Washington,Goya bean can claps back at Ivanka Trump https://t.co/jOjJLqaSmT via @YouTube,Twitter Web App,77,en,1,0,False,1274,3570,15,13246,6056,Goya bean can claps back at Ivanka Trump  via ,3,No verdict
2020-07-24T13:01:23Z,West Virginia,"⬇️🔥⬇️ Add sabotage to the corruption, grifting and downright destruction of our government under Trump. Small businesses count on USPS. Especially now. #GOPComplicitTraitors #TrumpThreatensAmerica https://t.co/vOQUrRwRnb",Twitter for iPhone,196,en,0,0,True,268,1964,0,12871,48628,"⬇️🔥⬇️ Add sabotage to the corruption, grifting and downright destruction of our government under Trump. Small businesses count on USPS. Especially now. #GOPComplicitTraitors #TrumpThreatensAmerica ",8,'no verdict'
2020-07-24T21:36:02Z,West Virginia,"Declassified Documents Show
FBI Used ‘Defensive’ Briefing In
2016 To Spy On Donald Trump.  Again one must ask the question: why is Wray still there? He has done NOTHING about this abuse of power within his agency. This is Watergate on steroids",Twitter for iPhone,243,en,0,0,False,607,460,10,66222,18148,"Declassified Documents Show
FBI Used ‘Defensive’ Briefing In
2016 To Spy On Donald Trump.  Again one must ask the question: why is Wray still there? He has done NOTHING about this abuse of power within his agency. This is Watergate on steroids",8,False
2020-07-23T20:55:20Z,Virginia,"@BorisEP @JoeBiden This is video of an America trying to get out from under a washed up game show host turned wannabe dictator.
So the only way ""Biden's America"" is anywhere this bad is if you're threatening to make it that way.
Is that what you're doing?",Twitter Web App,236,en,0,0,False,2004,4033,11,29383,4768,"  This is video of an America trying to get out from under a washed up game show host turned wannabe dictator.
So the only way ""Biden's America"" is anywhere this bad is if you're threatening to make it that way.
Is that what you're doing?",8,'no verdict'
2020-07-24T14:08:08Z,Tennessee,@NikkiHaley @realDonaldTrump Trump is the most selfish narcissistic person in this world.  #GOPComplicitTraitors,Twitter for iPhone,83,en,0,0,False,245,424,0,4277,131369,  Trump is the most selfish narcissistic person in this world.  #GOPComplicitTraitors,8,No verdict
