created_at_fuzzy,state_likely_tweeted_from,text,source,display_text_width,lang,favorite_count,retweet_count,is_quote,followers_count,friends_count,listed_count,statuses_count,favourites_count,our_assesment,cleaned_text,Toxicity,Fact assessment
2020-07-24T05:59:02Z,California,Just a reminder that Trump is the first president in over 100 years to not throw the first pitch at a baseball game. https://t.co/4xmJFqrsPX,Twitter Web App,116,en,5,0,True,220,775,2,1985,996,True,Just a reminder that Trump is the first president in over 100 years to not throw the first pitch at a baseball game. ,2,True
2020-07-23T02:39:14Z,California,how am I just now hearing trump was calling the corona virus the “Kung flu” ............ people really voted for this man,Twitter for iPhone,121,en,2,1,False,215,72,0,5004,8731,True,how am I just now hearing trump was calling the corona virus the “Kung flu” ............ people really voted for this man,7,True
2020-07-23T14:49:01Z,Kansas,"Apparently Biden said Trump is the first racist president. 

I mean, I don't even know where to start. Slavery? Jackson's genocidal forced removal policies toward Native Americans? Woodrow Wilson's refusal to apply the concept of self-determination beyond Europe?",Twitter Web App,263,en,12,0,False,1068,391,5,3949,3235,True,"Apparently Biden said Trump is the first racist president. 

I mean, I don't even know where to start. Slavery? Jackson's genocidal forced removal policies toward Native Americans? Woodrow Wilson's refusal to apply the concept of self-determination beyond Europe?",3,'no verdict'
2020-07-24T10:44:55Z,Maine,U.S. gun sales rise exponentially since March. We have seen the enemy and he is Trump.,Twitter Web App,86,en,0,0,False,58,94,5,8144,6,True,U.S. gun sales rise exponentially since March. We have seen the enemy and he is Trump.,7,False
2020-07-23T23:05:23Z,Missouri,@jaketapper @TedYoho @AOC Just like when Maxine Waters when talking about President Trump said “Impeach the mother fucker!”  Jake and AOC where was your outrage then?,Twitter for iPhone,140,en,0,0,False,360,180,2,8606,58832,False,   Just like when Maxine Waters when talking about President Trump said “Impeach the mother fucker!”  Jake and AOC where was your outrage then?,8,'no verdict'
2020-07-23T22:09:10Z,Missouri,Obama didn't brag as much about the Nobel Prize as Trump has bragged about his cognitive test. @CNNPolitics #TrumpVirus,TweetDeck,119,en,0,0,False,96,304,12,4904,831,True,Obama didn't brag as much about the Nobel Prize as Trump has bragged about his cognitive test.  #TrumpVirus,7,'true'
2020-07-23T03:46:26Z,Missouri,Joe Biden So your just gonna let illegal immigrants take our jobs and make pay off it what is that -  TRUMP 2020 BABY,Twitter for Android,104,en,0,0,False,0,9,0,2,1,False,Joe Biden So your just gonna let illegal immigrants take our jobs and make pay off it what is that -  TRUMP 2020 BABY,7,false
2020-07-24T16:53:09Z,Montana,America is lawless trump will kill anyone he wants https://t.co/8vHLPjDte4,Twitter for Android,50,en,0,0,True,268,242,1,55474,61682,False,America is lawless trump will kill anyone he wants ,8,False
2020-07-24T11:28:43Z,New Mexico,"This weekend marks 100 days until Election Day—and we need all hands on deck! Join a virtual
grassroots event in your community to take action and support Joe Biden and Democrats up
and down the ballot: https://t.co/9ksY2mmg7K",TweetDeck,226,en,78,33,False,89245,2211,691,12382,15728,True,"This weekend marks 100 days until Election Dayand we need all hands on deck! Join a virtual
grassroots event in your community to take action and support Joe Biden and Democrats up
and down the ballot: ",1,true
2020-07-23T00:13:54Z,Georgia,"Shut up, your fascist boss created this
And you probably only got that job because Trump think you’re related to his old pal #JeffreyEpstein who he had assassinated last year https://t.co/8EQomMt1Mb",Twitter for iPhone,174,en,0,0,True,37,148,0,2772,1381,False,"Shut up, your fascist boss created this
And you probably only got that job because Trump think youre related to his old pal #JeffreyEpstein who he had assassinated last year ",9,False
