Unnamed: 0,verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,Toxicity,Fact assessment
6454,FALSE,Brian Kolfage,"Says Sarah Jeong said, ""We need a castration lottery for white men. Every month we pull a birthday, sort the excess and snip some sacks, preferably in a big public gathering.""",9/20/2020,social_media,Noah Y. Kim,9/22/2020,https://www.politifact.com/factchecks/2020/sep/22/brian-kolfage/no-journalist-sarah-jeong-never-called-castration-/,,
19150,FALSE,Ron DeSantis,"In one year, the United Nations ""did 24 resolutions and 20 of them were against Israel.""",01/11/2018,other,Allison Graves,1/25/2018,https://www.politifact.com/factchecks/2018/jan/25/ron-desantis/fact-checking-rep-ron-desantis-claim-about-uns-tre/,,
18632,FALSE,Michele Bachmann,"Ezekiel Emanuel, one of President Obama's key health care advisers, ""says medical care should be reserved for the nondisabled. So watch out if you're disabled.""",7/27/2009,statement,Robert Farley,08/12/2009,https://www.politifact.com/factchecks/2009/aug/12/michele-bachmann/bachmann-says-obama-health-adviser-thinks-health-c/,,
13458,FALSE,Facebook posts,"""In 1916, the U.S. government predicted that by the 1940s all paper would come from hemp and that no more trees would need to be cut down.""",1/16/2014,blog,Louis Jacobson,1/17/2014,https://www.politifact.com/factchecks/2014/jan/17/facebook-posts/viral-internet-meme-says-us-government-predicted-1/,,
12178,mostly-true,Bill Nelson,"Says Donald Trump said he intends ""to open up additional areas off the coast to oil drilling"" during the campaign.",11/16/2016,speech,Amy Sherman,11/22/2016,https://www.politifact.com/factchecks/2016/nov/22/bill-nelson/bill-nelson-says-donald-trump-intends-expand-oil-d/,,
15949,mostly-false,Stephen Hayes,"""We've caught Iran cheating on the interim (nuclear) deal.""",12/28/2014,news,Jon Greenberg,12/31/2014,https://www.politifact.com/factchecks/2014/dec/31/stephen-hayes/hayes-iran-cheated-interim-nuclear-deal/,,
12807,FALSE,Viral image,"Says Rep. Marjorie Taylor Greene said, ""If it weren’t for electricity, we’d all be watching TV by candlelight.""",2/17/2022,social_media,Ciara O'Rourke,2/18/2022,https://www.politifact.com/factchecks/2022/feb/18/viral-image/quote-about-watching-tv-candlelight-originated-com/,,
7898,mostly-true,Mike Foley,"Says Ohio law gives tax breaks ""to rich people who own private jets.""",4/25/2012,speech,Joe Guillen,05/08/2012,https://www.politifact.com/factchecks/2012/may/08/mike-foley/mike-foley-says-ohio-gives-tax-breaks-rich-people-/,,
8110,mostly-true,Bob Gibbs,"""If Obamacare is fully implemented, 30 million people will still be without health insurance.""",5/17/2013,social_media,Sabrina Eaton,06/10/2013,https://www.politifact.com/factchecks/2013/jun/10/bob-gibbs/rep-bob-gibbs-says-30-million-will-be-left-uninsur/,,
618,FALSE,Facebook posts,"Video shows ""Russian tank column totally destroyed by attack helicopter.""",5/19/2022,social_media,Ciara O'Rourke,5/20/2022,https://www.politifact.com/factchecks/2022/may/20/facebook-posts/no-isnt-real-video-russian-tanks-getting-destroyed/,,
7853,mostly-false,Tammy Baldwin,"Says Republicans are ""organizing to take people’s health care away.""",01/06/2017,news,Jonathan Anderson,02/08/2017,https://www.politifact.com/factchecks/2017/feb/08/tammy-baldwin/tammy-baldwin-republicans-are-organizing-take-peop/,,
10494,mostly-false,Nancy Grace,"People on pot ""shoot each other ... stab each other ... strangle each other, drive under the influence, kill families.""",1/14/2014,other,Katie Sanders,1/24/2014,https://www.politifact.com/factchecks/2014/jan/24/nancy-grace/nancy-grace-says-pot-users-shoot-each-other-and-ki/,,
18748,FALSE,Rick Perry,"Says Bill White ""profiteered in the aftermath of Hurricane Rita.""",7/19/2010,blog,Meghan Ashford-Grooms,08/09/2010,https://www.politifact.com/factchecks/2010/aug/09/rick-perry/rick-perry-says-bill-white-profiteered-hurricane-r/,,
2525,pants-fire,Infowars,"Says Loretta Lynch was part of ""a stunning collection of calls to violence and murder from the intolerant, unhinged leftists in the Democrat party.""",6/14/2017,news,Jon Greenberg,6/16/2017,https://www.politifact.com/factchecks/2017/jun/16/infowars/infowars-ridiculous-claim-dems-called-violence/,,
5307,FALSE,André Carson,"""Our larger domestic threat is from racial supremacist groups.""",12/13/2015,news,Jon Greenberg,12/18/2015,https://www.politifact.com/factchecks/2015/dec/18/andre-carson/rep-carson-miscasts-racial-supremacists-greater-/,,
12865,pants-fire,Donald Trump,"""The recent statement by Chris Krebs on the security of the 2020 Election was highly inaccurate, in that there were massive improprieties and fraud.""",11/17/2020,social_media,Noah Y. Kim,11/18/2020,https://www.politifact.com/factchecks/2020/nov/18/donald-trump/fact-checking-donald-trumps-tweet-firing-christoph/,,
9017,FALSE,Tweets,Video shows Ukrainian crisis actors come to life after pretending to be dead.,03/01/2022,social_media,Samantha Putterman,03/04/2022,https://www.politifact.com/factchecks/2022/mar/04/tweets/video-climate-change-protest-austria-it-doesnt-sho/,,
14132,FALSE,Jim Banks,"Says he is the ""ranking member"" of the House select committee investigating the Jan. 6 attack on the U.S. Capitol.",9/16/2021,statement,Bill McCarthy,10/25/2021,https://www.politifact.com/factchecks/2021/oct/25/jim-banks/indiana-congressman-signed-letter-top-republican-j/,,
5101,half-true,Facebook posts,"""Two stamps needed for mail-in ballots.""",6/28/2020,social_media,Tom Kertscher,7/23/2020,https://www.politifact.com/factchecks/2020/jul/23/facebook-posts/postal-service-says-its-policy-deliver-even-mail-b/,,
