Unnamed: 0,verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,Toxicity,Fact assessment
14754,half-true,Greg Abbott,"""Texas ranks 3rd highest among states for the number of people who have recovered from"" the coronavirus.",5/3/2020,social_media,Madlin Mekelburg,5/8/2020,https://www.politifact.com/factchecks/2020/may/08/greg-abbott/recovery-data-coronavirus-lacking/,1,No verdict
15938,false,Nikki Haley,The cost of a Fourth of July cookout in 2022 increased by 67.2% because of inflation.,7/4/2022,social_media,Louis Jacobson,7/5/2022,https://www.politifact.com/factchecks/2022/jul/05/nikki-haley/fact-checking-nikki-haley-july-4-cookout-costs/,1,No verdict
14318,half-true,Rick Scott,"""We have cut taxes more than 40 times in four years.""",3/3/2015,speech,Joshua Gillin,3/3/2015,https://www.politifact.com/factchecks/2015/mar/03/rick-scott/rick-scott-says-he-cut-taxes-more-40-times/,1,No verdict
11591,false,Facebook posts,Joe Biden didn’t sign an antilynching bill in a ceremony outside the White House on March 29.,3/30/2022,social_media,Ciara O'Rourke,3/30/2022,https://www.politifact.com/factchecks/2022/mar/30/facebook-posts/yes-joe-biden-signed-antilynching-bill-white-house/,,False
13286,false,Facebook posts,"John D. Rockefeller coined the term ""fossil fuel"" to trick people into thinking that his product was scarce and drive up the price when fossil fuels are actually ""the second most abundant liquid on the planet.""",4/1/2022,social_media,Samantha Putterman,4/8/2022,https://www.politifact.com/factchecks/2022/apr/08/facebook-posts/john-d-rockefeller-didnt-coin-term-fossil-fuels-tr/,1,False
10515,half-true,Democratic National Committee,"The Republicans and President Donald Trump ""passed a tax bill that gave 80 percent of its benefits to the top 1 percent.""",1/16/2018,blog,Louis Jacobson,1/16/2018,https://www.politifact.com/factchecks/2018/jan/16/democratic-national-committee/dnc-offers-one-sided-view-who-gets-tax-bills-benef/,1,False
6279,mostly-true,Funny Or Die,"Says Trump shirts are made in Bangladesh, Trump suits in Mexico, Trump Vodka in the Netherlands, Trump crystal barware in Slovenia and his cufflinks and ties in China.",7/25/2016,social_media,Lauren Carroll,7/25/2016,https://www.politifact.com/factchecks/2016/jul/26/funny-or-die/fact-checking-funny-or-die-video-about-trump-brand/,1,True
8849,false,Jeff Jackson,"Says North Carolina's average teacher salary was at the national average ""back when I was in public school.""",12/3/2019,social_media,Matthew Riley,12/11/2019,https://www.politifact.com/factchecks/2019/dec/11/jeff-jackson/democrat-wrong-about-history-ncs-teacher-pay/,1,No verdict
19682,mostly-false,Donald Trump,"""Most of that money (made by the NFL) goes to the players.""",8/10/2018,social_media,Louis Jacobson,8/13/2018,https://www.politifact.com/factchecks/2018/aug/13/donald-trump/do-players-get-most-nfl-revenues-donald-trump-says/,1,False
19898,half-true,Newt Gingrich,"Says Mitt Romney ""put Planned Parenthood on a state medical board but failed to put a pro-life group on the same board.""",1/10/2012,campaign,Molly Moorhead,1/20/2012,https://www.politifact.com/factchecks/2012/jan/20/newt-gingrich/Gingrich-ad-says-Mitt-Romney-appointed-Planned-Par/,1,no verdict
4806,half-true,Shelley Moore Capito,"""Thanks to successful federal, state, and local efforts, preliminary statistics show opioid overdose deaths are down 8.5% in West Virginia.""",1/22/2019,social_media,Mylana Chico,2/21/2019,https://www.politifact.com/factchecks/2019/feb/22/shelley-moore-capito/did-opioid-overdose-deaths-west-virginia-fall-85/,1,No verdict
