created_at_fuzzy,state_likely_tweeted_from,text,source,display_text_width,lang,favorite_count,retweet_count,is_quote,followers_count,friends_count,listed_count,statuses_count,favourites_count,cleaned_text,Toxicity,Fact assessment,Trivia question,Offensive Assessment,topic_label
2020-08-13T16:55:49Z,California,LIVE: Trump holds press conference https://t.co/6vWNh32OxY via @YouTube,Twitter Web App,71,en,0,0,False,3281,4938,4,39349,23299,live : trump hold press conference httpurl via @user,1,no verdict,,,-1
2020-08-30T00:03:31Z,Tennessee,"Trump’s claim the ‘silent majority’ will save his re-election bid demolished by CNN polling expert...

Because no matter how much Trump wishes it were true, the voices in his head won't get him re-elected.",Twitter Web App,205,en,9,2,False,2866,3000,2,23786,30906,"trump 's claim the ‘ silent majority ' will save his re-election bid demolished by cnn polling expert ... because no matter how much trump wish it were true , the voice in his head wo n't get him re-elected .",8,'no verdict',,,11
2020-10-26T23:16:05Z,New York,"#NewHampshire #VoteBlue #VoteBlueToSaveAmerica  #VoteBlueToSaveAmerica2020 

#BIDENHARRIS2020

This influential newspaper just broke a 100-plus year streak of endorsing a Republican and endorsed JOE BIDEN FOR PRESIDENT!
https://t.co/mS86DxsHHQ

#NHpol #NHpolitics #NH",Twitter Web App,267,en,7,4,False,32221,26550,52,304911,146137,#newhampshire #voteblue #votebluetosaveamerica #votebluetosaveamerica2020 #bidenharris2020 this influential newspaper just broke a 100 - plus year streak of endorsing a republican and endorsed joe biden for president ! httpurl #nhpol #nhpolitics #nh,2,'true',,,-1
2020-08-24T09:54:59Z,Florida,"@davidsirota I'm so confused, when is the media going to point out the obvious and brutal attacks by Kamala Harris supporters and the Joe Biden supporters? Why was Bernie Sanders supporters smeared just because they critiqued using policy? I hate the media hypocrisy on this.",Twitter for Android,262,en,2,0,False,457,375,5,16851,7429,"@user i 'm so confused , when is the medium going to point out the obvious and brutal attack by kamala harris supporter and the joe biden supporter ? why wa bernie sanders supporter smeared just because they critiqued using policy ? i hate the medium hypocrisy on this .",7,'no verdict',,,5
2021-02-04T11:31:07Z,Washington,@Carlos27480217 @DonaldJTrumpJr Yep! He has Balls!! Now with Our Whimp in office and Biden will have US owned by China!!,Twitter for Android,88,en,0,0,False,43,177,0,2618,1517,@user @user yep ! he ha balls ! ! now with our whimp in office and biden will have us owned by china ! !,8,'false',,,21
2021-01-03T11:54:56Z,Texas,"@HouseGOP @SenateGOP @GOP @NRSC @NRCC It is in the best interest of ALL who call themselves #Republicans to join with those objecting to Biden’s electors on 1/6/21. If not, you may as well run as an #Independent #Democrat or #CCP, because #WeThePeople are DONE with you! https://t.co/ZeNPGixRuC",Twitter for iPhone,270,en,0,0,True,17842,15408,29,37936,31978,"@user @user @user @user @user it is in the best interest of all who call themselves #republicans to join with those objecting to biden 's elector on 1/6 / 21 . if not , you may a well run a an #independent #democrat or #ccp , because #wethepeople are done with you ! httpurl",8,false,,,-1
2020-09-03T03:39:01Z,Illinois,"@dachs8 @JordanChariton Seriously? Almost every poll sited on the MSM had Biden leading, with that lead narrowing the closer it got until voting started. They wanted Pete, but also pushed Amy, who shouldn't have even made it to most of the debates, yet her bullshit poll #'s got her in. Bloomberg, too.",Twitter for Android,278,en,6,0,False,1116,1588,6,7168,125089,"@user @user seriously ? almost every poll sited on the msm had biden leading , with that lead narrowing the closer it got until voting started . they wanted pete , but also pushed amy , who should n't have even made it to most of the debate , yet her bullshit poll # ' s got her in . bloomberg , too .",7,'no verdict',,,15
2021-02-10T01:29:58Z,North Carolina,"Biden endorses sending stimulus checks to Americans earning $75,000 during meeting with top CEOs https://t.co/KH344qRF0V",Twitter for iPhone,120,en,0,0,False,377,295,1,84774,38849,"biden endorses sending stimulus check to americans earning $ 75,000 during meeting with top ceos httpurl",2,'true',,,-1
2020-12-16T19:04:31Z,California,Doug Collins is in the Deep state Mitch McConnell in the Deep state the closer President Trump gets the truth now all the Republicans are sticking their head out of the swamp the Deep State swamp,Twitter for Android,195,en,1,0,False,91,523,0,1245,1427,doug collins is in the deep state mitch mcconnell in the deep state the closer president trump get the truth now all the republicans are sticking their head out of the swamp the deep state swamp,8,False,,,18
2020-07-29T13:51:59Z,Kansas,"It was Trump's antic semitic joke: ""You don't look like a Bloomberg!"" https://t.co/4FqQfUr31D",Twitter for Android,69,en,0,0,True,211,637,0,115742,48100,"it wa trump 's antic semitic joke : "" you do n't look like a bloomberg ! "" httpurl",8,False,,,-1
2020-10-08T07:48:34Z,Oregon,"We're not electing a dictator. The president is not infallible and should not be followed out of blind loyalty. We should absolutely be willing and able to call them out on bullshit.

And Biden and Harris both have a history of some bullshit.",Twitter for Android,242,en,1,0,False,678,1179,34,146317,266836,we 're not electing a dictator . the president is not infallible and should not be followed out of blind loyalty . we should absolutely be willing and able to call them out on bullshit . and biden and harris both have a history of some bullshit .,7,'no verdict',,,-1
2020-12-25T11:32:41Z,Pennsylvania,"@PreetBharara I've always stood by *pled*, until the Trump Twitter Gang always uses *pleaded*. Now pleaded is in my brain.",Twitter for Android,108,en,0,0,False,164,242,7,22893,18428,"@user i 've always stood by * pled * , until the trump twitter gang always us * pleaded * . now pleaded is in my brain .",2,'no verdict',,,0
2020-11-26T07:20:31Z,Indiana,"@DenaePFA @WajahatAli Got this Bible verse from Billy Graham speaking in England:

""The wicked are estranged from the womb: they go astray as soon as they be born, speaking lies."" Psalm 58:3 KJV

Tell me it's not worth it just for that verse about Trump!",Twitter Web App,232,en,1,0,False,5781,6037,3,23623,21302,"@user @user got this bible verse from billy graham speaking in england : "" the wicked are estranged from the womb : they go astray a soon a they be born , speaking lie . "" psalm 58:3 kjv tell me it 's not worth it just for that verse about trump !",7,'no verdict',,,20
2020-10-17T14:04:04Z,Pennsylvania,"@AndrewBatesNC Except he said he would cancel Trump's tax cut which would increase taxes on the Middle class.   Net tax increase,  vote Trump",Twitter for Android,126,en,0,0,False,118,352,3,3802,4830,"@user except he said he would cancel trump 's tax cut which would increase tax on the middle class . net tax increase , vote trump",7,False,,,-1
2021-03-25T06:10:17Z,Texas,@laurenboebert The president of Mexico blames Biden,Twitter for Android,36,en,0,0,False,7,58,0,158,124,@user the president of mexico blame biden,3,False,,,8
2020-11-15T13:47:51Z,Maine,"@CassandraAhearn PS
@Twitter  @Jack  @TwitterSupport 
#DeactivateTrump 
#SuspendTrump 
Trump uses Twitter to incite violence with lies. 
Stop the disinformation hurting America! 🇺🇸 
#TrumpLostTheElection 
#TrumpIsFired 

#BidenIsPresidentElect ✅
#BidenHarrisWon ✅
#AmericaWon 🇺🇸 ✅",Twitter Web App,263,en,1,0,False,11320,12314,8,26730,36105,@user ps @user @user @user #deactivatetrump #suspendtrump trump us twitter to incite violence with lie . stop the disinformation hurting america ! united_states #trumplosttheelection #trumpisfired #bidenispresidentelect :white_heavy_check_mark: #bidenharriswon :white_heavy_check_mark: #americawon united_states :white_heavy_check_mark:,8,'no verdict',,,-1
2021-02-16T01:52:59Z,Utah,Hot take; Romney isn’t against Trump because he’s “apart of the establishment” or whatever. I think he’s just genuinely against him. https://t.co/6S5QgEM3dE,Twitter for iPhone,132,en,16,1,True,298,501,2,3002,5086,hot take ; romney is n't against trump because he 's “ apart of the establishment ” or whatever . i think he 's just genuinely against him . httpurl,2,'true',,,-1
2020-09-30T23:10:23Z,Hawaii,"Trump actually stood in front of the cameras this morning and said that every poll he had seen said he won last night's debate. 

That's taking pathological lying to the next level.",Twitter Web App,181,en,12,3,False,2689,2491,22,39381,88744,trump actually stood in front of the camera this morning and said that every poll he had seen said he won last night 's debate . that 's taking pathological lying to the next level .,8,'true',,,-1
2021-03-04T07:03:15Z,Iowa,feel free to join in if you ever see me bullying biden on the tl,Twitter for iPhone,64,en,2,0,False,819,450,5,26708,73717,feel free to join in if you ever see me bullying biden on the tl,2,'no verdict',,,6
2020-09-30T05:47:00Z,Nevada,"@PatriotBee78 Biden was low on substance. Also Biden said he did NOT call our troops ""Stupid bastards""....here is proof he DID and last night LIED about it! https://t.co/mbXpdfC1u9",Twitter Web App,166,en,5,4,False,38505,38626,225,81777,2779,"@user biden wa low on substance . also biden said he did not call our troop "" stupid bastard "" ... here is proof he did and last night lied about it ! httpurl",8,'false',,,-1
2020-11-22T16:42:31Z,Oklahoma,"Here are the biggest lies President Donald Trump has told about the coronavirus, from @realcpaz: https://t.co/Tgy5rPQcv5",Twitter Web App,120,en,0,0,False,34,404,0,5387,5591,"here are the biggest lie president donald trump ha told about the coronavirus , from @user : httpurl",3,'no verdict',,,13
2020-12-10T20:17:30Z,Alabama,@LouDobbs The FAKE NEWS left out the part of MONEY LAUNDERING AND THE BIG GUY no other then CORRUPT JOE BIDEN!  THE BIDEN CRIME FAMILY NEEDS TO BE PROSECUTED AND I BELIEVE THIS IS THE PRELUDE TO THAT HAPPENING SOON!!!!!,Twitter for iPhone,209,en,0,0,False,64,57,0,7993,4419,@user the fake news left out the part of money laundering and the big guy no other then corrupt joe biden ! the biden crime family needs to be prosecuted and i believe this is the prelude to that happening soon ! ! !,8,False,,,23
2021-04-07T13:09:47Z,Arkansas,Court tosses Trump rule limiting emissions regulations https://t.co/H6atV3ccpZ,Twitter for Android,78,en,0,0,False,548,268,6,23102,57739,court toss trump rule limiting emission regulation httpurl,1,True,,,3
2020-10-14T08:33:32Z,Michigan,@kirkacevedo @DrDourbine @ProjectLincoln I loved the speech however attacking a whole race is wrong. I am disabled you do not know how much I suffer.  am NOT a Trump backer.,Twitter Web App,132,en,0,0,False,57,7,0,9038,7204,@user @user @user i loved the speech however attacking a whole race is wrong . i am disabled you do not know how much i suffer . am not a trump backer .,3,'true',,,-1
2021-03-18T09:29:38Z,Mississippi,Mississippi is among 21 other states suing the Biden Administration over the Keystone XL Pipeline  https://t.co/yx9ePj418U,SocialNewsDesk,122,en,4,1,False,49973,795,455,113725,2477,mississippi is among 21 other state suing the biden administration over the keystone xl pipeline httpurl,3,'true',,,30
2020-08-18T18:01:48Z,Minnesota,"Trump administration finalizes plan for Arctic refuge drilling
https://t.co/DfAEVYJhzA",Twitter Web App,86,en,0,0,False,79,173,1,1017,271,trump administration finalizes plan for arctic refuge drilling httpurl,3,True,,,37
2021-03-13T03:07:01Z,South Carolina,@mog7546 I support no taxes on TRULY FAMILY FARMS but government subsidies should be exacted at the time of transfer. Otherwise 75-80% inheritance tax to punks like trump kids and kushners seems okay. They shouldn’t be allowed to live in America without contributing.  Full stop.,Twitter for iPad,270,en,0,0,False,1650,1713,2,6059,5319,@user i support no tax on truly family farms but government subsidy should be exacted at the time of transfer . otherwise 75-80 % inheritance tax to punk like trump kid and kushners seems okay . they should n't be allowed to live in america without contributing . full stop .,8,False,,,10
2021-04-03T17:11:51Z,Kentucky,"@johntdowney @TonyD2705 @charliekirk11 I’m not gullible at all, I just can read. You sound like CNN. Say ridiculous things with no facts, then when you’re presented with facts, you just ignore them.

I read all of it. Nothing happened in the court system.

How about Hunter Biden though? 🤑🤑🤑",Twitter for iPhone,252,en,0,0,False,98,173,1,2260,241,"@user @user @user i 'm not gullible at all , i just can read . you sound like cnn . say ridiculous thing with no fact , then when you 're presented with fact , you just ignore them . i read all of it . nothing happened in the court system . how about hunter biden though ? :money-mouth_face: :money-mouth_face: :money-mouth_face:",8,'no verdict',,,-1
2020-09-20T21:55:20Z,South Carolina,"Here Is a real reason to award the Nobel Peace Prize ! President Trump coordinated the United Arad Emirates &amp; Bahrrain to recognize Israel as a Soverign Nation ! No  Middle
Eastern Nation has recognized Israel other than as an Enemy from when Isreal was recognized by the U.S. !",Twitter for Android,282,en,0,0,False,2520,2533,42,36822,93,here is a real reason to award the nobel peace prize ! president trump coordinated the united arad emirates & bahrrain to recognize israel a a soverign nation ! no middle eastern nation ha recognized israel other than a an enemy from when isreal wa recognized by the u . s . !,3,'no verdict',,,-1
2020-10-17T09:35:17Z,Oklahoma,it makes me wonder how representative this person is of the Democratic Party? Maybe this needs to be a Town Hall question for Biden.,Twitter for iPhone,132,en,2,0,False,1998,766,45,6683,5023,it make me wonder how representative this person is of the democratic party ? maybe this need to be a town hall question for biden .,3,'no verdict',,,-1
2021-02-13T21:38:59Z,Florida,@marcorubio Remember it's Trump before country.,Twitter Web App,47,en,0,0,False,585,567,6,602,6620,@user remember it 's trump before country .,7,'true',,,0
2020-12-12T10:25:56Z,South Dakota,"https://t.co/fzrCClmnt9
Big Trump supporter
I won’t buy there ever",Twitter for iPhone,66,en,14,0,False,1654,2027,35,61008,88612,httpurl big trump supporter i wo n't buy there ever,7,'no verdict',,,3
2021-03-23T23:02:21Z,Illinois,More 'damaging revelations' about Trump administration to drop thanks to long-delayed IG reports https://t.co/butQKqADXT,Twitter Web App,120,en,1,0,False,2278,5000,4,29097,23882,more ' damaging revelation ' about trump administration to drop thanks to long-delayed ig report httpurl,2,'no verdict',,,3
2020-12-29T19:13:43Z,Virginia,"@summer7570 @Spike9151 @senatemajldr @seanhannity @IngrahamAngle @GOPChairwoman @KellyannePolls Photo sums up Trump. “Trump Turns Back on America, Downplays Covid, Plays Golf Instead, 338,000 Dead As Lives Stolen, Trump Decries Stolen Election”",Twitter for iPad,148,en,1,0,False,210,148,2,7680,7840,"@user @user @user @user @user @user @user photo sum up trump . “ trump turns back on america , downplays covid , plays golf instead , 338,000 dead as lives stolen , trump decries stolen election ”",7,No verdict,,,-1
2020-12-02T03:12:59Z,Virginia,Like a Biden campaign rally. Far apart and nobody really wanting to be there https://t.co/90aYEox5Jj,Twitter for iPhone,76,en,1,0,True,1896,2568,22,25999,14045,like a biden campaign rally . far apart and nobody really wanting to be there httpurl,3,'false',,,2
2020-08-28T01:15:59Z,Maryland,@Lrihendry So the Democrats could institute mail-in voting.  No rational human would cast a vote for the Biden/Harris ticket.,Twitter Web App,114,en,0,0,False,48,249,0,2132,1738,@user so the democrats could institute mail-in voting . no rational human would cast a vote for the biden / harris ticket .,8,'false',,,-1
2021-03-12T14:24:00Z,Indiana,"Why does Biden get away with everything, is Never questioned and the guy has Alzheimer’s??
WTF 😳",Twitter for iPhone,96,en,0,0,False,1433,4443,3,21078,14496,"why doe biden get away with everything , is never questioned and the guy ha alzheimer 's ? ? wtf :flushed_face:",8,'no verdict',,,-1
2021-02-19T23:32:32Z,California,Censored Hunter Biden Laptop Story Comes Back Around to Bite Twitter https://t.co/v01v4EeRdF,Twitter Web App,92,en,0,0,False,8534,9070,93,170931,60870,censored hunter biden laptop story comes back around to bite twitter httpurl,2,'no verdict',,,2
2021-04-24T05:10:43Z,Washington,See what has happened to Trump's DC hotel after his loss https://t.co/CblguAMJxW via @YouTube,Twitter Web App,93,en,0,0,False,1626,2993,25,37780,18984,see what ha happened to trump 's dc hotel after his loss httpurl via @user,1,'true',,,-1
2020-11-22T21:43:03Z,Pennsylvania,"@SpeakerPelosi FYI  Trump sending out invitations to his inauguration in the Rose Garden.  
Beyond help",Twitter Web App,103,en,0,0,False,1575,1991,10,103895,47016,@user fyi trump sending out invitation to his inauguration in the rose garden . beyond help,8,'false',,,-1
2021-05-02T05:30:56Z,Virginia,"Biden had a slightly higher margin in NH than in MN so are we still gonna pretend that NH is a swing state? — True, though NH is just more elastic when it comes to non-presidential politics https://t.co/RWAVadUz0b",Twitter Web App,213,en,52,1,False,41134,3829,1585,101572,123559,"biden had a slightly higher margin in nh than in mn so are we still gonna pretend that nh is a swing state ? — true , though nh is just more elastic when it come to non-presidential politics httpurl",2,'True',,,15
2021-02-06T03:56:17Z,Montana,"@postXamerica Maybe they need to be pressuring their boss joe Biden to give out 2,000 dollars to everyone",Twitter for iPhone,91,en,1,0,False,373,1088,5,95720,56628,"@user maybe they need to be pressuring their bos joe biden to give out 2,000 dollar to everyone",2,'false',,,14
2021-02-13T16:21:24Z,Ohio,Is Mitch McConnell seriously supporting a criminal prosecution of Donald Trump? #LockHimUp,Twitter for iPhone,90,en,5,1,False,2597,1718,60,84932,12512,is mitch mcconnell seriously supporting a criminal prosecution of donald trump ? #lockhimup,7,'no verdict',,,-1
2020-10-19T11:14:56Z,Minnesota,"Great news! We must not only preserve SNAP benefits, but also expand them to ensure they are meeting the needs of families that are struggling due to the COVID-19 pandemic. #BoostSNAPnow https://t.co/ckxLCby4bM",Twitter Web App,210,en,4,2,False,6392,3486,299,7615,5248,"great news ! we must not only preserve snap benefit , but also expand them to ensure they are meeting the need of family that are struggling due to the covid - 19 pandemic . #boostsnapnow httpurl",1,'true',,,-1
2020-11-28T02:21:48Z,Oklahoma,Brace Yourself: Biden’s Started to Announce Senior White House Appointments https://t.co/SbOKG980zN via @My Loyal Patriots,Twitter for iPhone,122,en,1,0,False,353,899,0,3738,4415,brace yourself : biden 's started to announce senior white house appointments httpurl via @user loyal patriots,1,True,,,2
2020-07-30T12:16:50Z,New Hampshire,Like Oswald paying tribute to JFK  https://t.co/fMvu74xOs6,Twitter Web App,58,en,0,0,False,188,1164,9,27095,78,like oswald paying tribute to jfk httpurl,2,'no verdict',,,-1
2020-09-12T22:09:34Z,Minnesota,"@ida_skibenes I'm more worried that the fix is in. He and Barr don't act like people who will be held accountable in 52 days. They're very blatant in their crimes - as if they won't matter. (But yes, if I'm wrong and Trump loses, I'm terrified of what my fellow Americans will do.)",Twitter Web App,267,en,4,0,False,140,691,3,18205,24851,"@user i 'm more worried that the fix is in . he and barr do n't act like people who will be held accountable in 52 day . they 're very blatant in their crime - a if they wo n't matter . ( but yes , if i 'm wrong and trump loses , i 'm terrified of what my fellow americans will do . )",7,'no verdict',,,7
2021-01-22T08:45:51Z,Texas,@marcorubio you mean like you Republicans did in 2016 with your radical far right agenda? you imposed it on the majority of voters that didn't vote for Trump then and you still don't care about the majority of voters that voted for Biden now.,Twitter Web App,230,en,0,0,False,43,116,1,4138,751,@user you mean like you republicans did in 2016 with your radical far right agenda ? you imposed it on the majority of voter that did n't vote for trump then and you still do n't care about the majority of voter that voted for biden now .,8,'no verdict',,,11
2020-08-09T10:51:48Z,Wisconsin,"@DonDisinfectant @VLongobardo @SLED__ @medharp @SenateGOP Munchkins remarks revealed GOP attitudes about the ‘workers’ as trump pompously refers to us common folk. Why mam, If we come through with money and those low income workers are gittin the grits same as everyone else, they won’t get their lazy butts to work.
Fcked up. VOTE BLUE",Twitter for iPhone,278,en,1,0,False,838,1128,4,19389,16990,"@user @user @user @user @user munchkins remark revealed gop attitude about the ‘ worker ' a trump pompously refers to u common folk . why mam , if we come through with money and those low income worker are gittin the grit same a everyone else , they wo n't get their lazy butt to work . fcked up . vote blue",8,'no verdict',,,-1
2021-02-13T23:42:42Z,Utah,"@FromPeabody @PublicEnemyNo_1 If they cared, Trump would still be president, so it's not the worst trade off.",Twitter for Android,79,en,2,0,False,157,147,1,8097,8809,"@user @user if they cared , trump would still be president , so it 's not the worst trade off .",7,'false',,,29
2021-03-01T15:55:27Z,Arizona,"@AZHouseDems @billgatesaz @Steve_Gallardo @jacksellers @AzCapitolTimes @azcentral @phoenixnewtimes @AZSenateDems @ArizonaMirror @azfamily @abc15 If people who claim fraud get their hands on these ballots it opens up a world of possibilities.

Including: fudging numbers to ensure Trump win, fudging numbers to ensure Kelly loss, defacement of real ballots, and any and all ways to make sure your blue ballot does not count!",Twitter for iPhone,278,en,8,2,False,589,873,1,9445,8171,"@user @user @user @user @user @user @user @user @user @user @user if people who claim fraud get their hand on these ballot it open up a world of possibility . including : fudging number to ensure trump win , fudging number to ensure kelly loss , defacement of real ballot , and any and all way to make sure your blue ballot doe not count !",8,'false',,,34
2020-11-21T22:32:30Z,New York,"@reedgalen Worry more of the quiet work the GOP is up too!
4 years they have waved Trump in our face. Russia forced him to sign a Republican contract. Look at what's happening behind the built wall?",Twitter for Android,187,en,1,1,False,47,245,0,5791,763,@user worry more of the quiet work the gop is up too ! 4 year they have waved trump in our face . russia forced him to sign a republican contract . look at what 's happening behind the built wall ?,7,'no verdict',,,17
2020-12-16T02:22:43Z,Minnesota,"Thread by @pepesgrandma: Thread: Institute For Statecraft, Integrity Initiative, the beginnings of the US Cluster. 6 days after Trump announced his candidacy, the domain was registered. Although the propaganda had ...… https://t.co/F3lvxtysne",Twitter Web App,242,en,0,0,False,10327,10448,321,862767,99670,"thread by @user : thread : institute for statecraft , integrity initiative , the beginning of the us cluster . 6 day after trump announced his candidacy , the domain wa registered . although the propaganda had ... httpurl",3,No verdict,,,3
2020-10-30T08:51:57Z,Texas,@BuckeFPS definitely trump. leaders of countries and the only person that could come close is ronaldo,Twitter for iPhone,91,en,7,0,False,79,447,0,1100,12990,@user definitely trump . leader of country and the only person that could come close is ronaldo,3,'no verdict',,,0
2021-01-25T01:17:29Z,West Virginia,@kylenabecker The deep state and the United States Corporation wanted him elected. The US Corporation is bankrupt and needs foreign funds to survive. The foreign nations obviously makes money off of the money they lend us. President Trump set us up not to reley on foreign nations.,Twitter for iPhone,267,en,8,0,False,308,912,2,2379,4414,@user the deep state and the united states corporation wanted him elected . the us corporation is bankrupt and need foreign fund to survive . the foreign nation obviously make money off of the money they lend u . president trump set u up not to reley on foreign nation .,8,False,,,10
2020-11-01T01:18:42Z,California,"@Danielwastes Nah, Biden will provide good content",Twitter for iPhone,36,en,1,0,False,39,788,0,786,10904,"@user nah , biden will provide good content",2,'no verdict',,,8
2021-01-07T05:28:28Z,Arkansas,Right now a Trump supporter is selling Nancy Pelosi’s name plate on OfferUp for more Cricket minutes.,Twitter for iPhone,101,en,3,0,False,562,1082,5,851,482,right now a trump supporter is selling nancy pelosi 's name plate on offerup for more cricket minute .,8,No verdict,,,-1
2020-12-14T15:49:31Z,Florida,Have you wondered why not even a single liberal wants an honest &amp; transparent forensic investigation of Dominion machines? Look no further! The ONE COUNTY in Michigan  whose audit discovered a 68.05% error rate favoring Biden! https://t.co/aXDutKk66y,Twitter for iPhone,254,en,1,0,False,1400,158,0,9968,11779,have you wondered why not even a single liberal want an honest & transparent forensic investigation of dominion machine ? look no further ! the one county in michigan whose audit discovered a 68.05 % error rate favoring biden ! httpurl,7,False,,,23
2020-09-10T23:41:52Z,Iowa,"Agreed. Trump needs to be removed from office immediately. Immediately. Cops choke unarmed people to death without benefit of arrest or trial – but we can’t evict a president responsible for 200,000 American deaths? 

Those with the power to do the most harm… are allowed to. https://t.co/uw1iqwdr6S",Twitter Web App,275,en,2,0,True,2236,3811,31,57100,122466,"agreed . trump need to be removed from office immediately . immediately . cops choke unarmed people to death without benefit of arrest or trial – but we can't evict a president responsible for 200,000 american death ? those with the power to do the most harm ... are allowed to . httpurl",8,No verdict,,,-1
2021-04-06T23:45:09Z,Tennessee,@CDemerjian That was to expected after Biden committed $37 billion to boost chip manufacturing amid shortfall. More incentives will follow. https://t.co/YnoBa8peUw,Twitter Web App,163,en,0,0,False,102,406,1,6741,3141,@user that wa to expected after biden committed $ 37 billion to boost chip manufacturing amid shortfall . more incentive will follow . httpurl,1,'true',,,31
2020-09-27T14:08:40Z,North Dakota,"@freddieffa @NanaLuvsShoes @Sanddragger I really am curious. Where do you get the incredibly wrong idea that Joe Biden is a ""rapist?"" He has never been accused of sexual assault. Is this from Rush Limbaugh? Tucker Carlson? Hannity? Or the guy that's lied over 20K times? Such a lie and you spread it like PB&amp;J. Sick",Twitter Web App,279,en,0,0,False,536,2163,19,17479,15053,"@user @user @user i really am curious . where do you get the incredibly wrong idea that joe biden is a "" rapist ? "" he ha never been accused of sexual assault . is this from rush limbaugh ? tucker carlson ? hannity ? or the guy that 's lied over 20k time ? such a lie and you spread it like pb & j . sick",8,'true',,,39
