StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent form,Twitter use,AI understanding,Application,Experience,Moderation,Benefit to user,Fairness,Trust algorithm mod.,Human moderation,Race discr.,Sexual orient discr.,Gender discr.,Religion discr.,Effective moderation,AI acceleration,AI + human,Hate speech,Misinformation,Disinformation,Political spectrum_1,Minimum wage_1,Schooling_1,Immigrants_1,Helping needy_1,Country,State,Education,Gender,Gender_4_TEXT,Ethnicity,Income,Age
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent form,How often do you access the social media platform X (formerly Twitter)?,I have a general understanding of how AI works.,I am aware of the various applications of AI in today's world.,I have practical experience working with AI technologies.,I have an understanding of how social media companies can use AI to moderate the content on their platform.,I think that the use of AI for content moderation brings benefit to an X/Twitter user.,I trust AI to make fair decisions while moderating content on X/Twitter.,I trust the assessment of an AI-based content moderation algorithm on X/Twitter.,I trust the assessment of a human content moderator on X/Twitter.,I would trust AI to not discriminate against certain groups on the basis of race.,I would trust AI to not discriminate against certain groups on the basis of sexual orientation.,I would trust AI to not discriminate against certain groups on the basis of gender.,I would trust AI to not discriminate against certain groups on the basis of religion.,I think content is currently effectively moderated on X/Twitter.,The use of AI is an effective instrument to speed up content moderation on X/Twitter.,I think AI would be more effective in moderating content on X/Twitter if closely supervised by a human.,"In common language, “hate speech” refers to offensive discourse targeting a group or an individual based on inherent characteristics (such as race, religion or gender).

I am confident in a moderation algorithm's ability to correctly identify hate speech on X/Twitter.","""Misinformation"" can be defined in the following ways: false information that is spread, regardless of whether there is intent to mislead.

I am confident in a moderation algorithm's ability to correctly identify misinformation on X/Twitter.","""Disinformation"" can be defined in the following ways: deliberately misleading or biased information; manipulated narrative or facts; propaganda.

I am confident in a moderation algorithm's ability to correctly identify disinformation on X/Twitter.","In politics, people often talk of the political ""left"" and ""right"". Where would you place yourself on this scale, where 0 means left and 10 means right? - please indicate:",Minimum wage,Schooling,Immigrants,Helping needy,List of Countries,"50 States, D.C. and Puerto Rico",What is the highest level of school you have completed or the highest degree you have received?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,Choose one or more races that you consider yourself to be,What was your total household income before taxes during the past 12 months?,How old are you?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""QID172807553""}","{""ImportId"":""QID9""}","{""ImportId"":""QID87""}","{""ImportId"":""QID31""}","{""ImportId"":""QID38""}","{""ImportId"":""QID32""}","{""ImportId"":""QID50""}","{""ImportId"":""QID39""}","{""ImportId"":""QID51""}","{""ImportId"":""QID58""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID49""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID16""}","{""ImportId"":""QID1215139908""}","{""ImportId"":""QID18""}","{""ImportId"":""QID88""}","{""ImportId"":""QID88_4_TEXT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID62""}","{""ImportId"":""QID65_TEXT""}"
2024-03-18 08:46:12,2024-03-18 08:47:02,IP Address,100,50,True,2024-03-18 08:47:03,R_3sX6aUYcY3Gqqs7,anonymous,EN,1,,0,0,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-18 08:48:31,2024-03-18 08:56:43,IP Address,100,492,True,2024-03-18 08:56:44,R_4gjckliObAD0deV,anonymous,EN,1,true,98,5,2024-03-18 14:46:32,"I consent, begin the study",A few times per year or less,Neither agree nor disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,Somewhat disagree,Disagree,Disagree,Agree,Somewhat agree,Disagree,Somewhat Disagree,Somewhat Agree,10,-3,0,-4,-2,Netherlands,,High school graduate (high school diploma or equivalent),Prefer to self-describe,Sexy,"American Indian/Native American or Alaska Native,Native Hawaiian or Other Pacific Islander",Prefer not to say,46
2024-03-18 09:04:24,2024-03-18 09:04:50,IP Address,100,25,True,2024-03-18 09:04:50,R_8hzk6eehMQyDmA1,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-18 09:05:08,2024-03-18 09:06:05,IP Address,100,56,True,2024-03-18 09:06:05,R_2K1syTZzlYZ55mN,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-18 09:03:45,2024-03-18 09:10:58,IP Address,100,433,True,2024-03-18 09:10:59,R_23hF9K5oari9Unn,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Multiple times per day,Neither agree nor disagree,Somewhat Agree,Agree,Somewhat Disagree,Neither agree nor disagree,Disagree,Disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,2,-3,-5,-3,-4,Netherlands,,High school graduate (high school diploma or equivalent),Female,,White or Caucasian,Prefer not to say,20
2024-03-18 09:25:23,2024-03-18 09:28:28,IP Address,100,184,True,2024-03-18 09:28:28,R_3BRN3pEcfTetxK1,anonymous,EN,0.699999988079071,,0,0,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-18 12:46:01,2024-03-18 12:49:40,IP Address,100,219,True,2024-03-18 12:49:41,R_8jd4E7te3KEQMLo,anonymous,EN,0.800000011920929,,0,0,,"I consent, begin the study",Multiple times per day,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly disagree,Somewhat Disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,1,-4,-5,-5,-5,Netherlands,,Some tertiary education but no degree,Female,,White or Caucasian,"Less than $25,000",24
2024-03-18 10:23:40,2024-03-18 13:16:00,IP Address,100,10340,True,2024-03-18 13:16:01,R_2lcRwy06GYn2YkZ,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Multiple times per day,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Disagree,Somewhat Agree,Somewhat Agree,1,-3,-5,-5,-5,Netherlands,,Some tertiary education but no degree,Female,,White or Caucasian,"$25,000-$49,999",21
